COD_LEGADO;PDF_RESOLVIDO
AAAF 20X1.1/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 35X1 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 35X1 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 35X1.1/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAM 12.7X1/2 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 12X/7/8 UNF;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 12X1/2 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAF 12X9/16 UNF;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 12XM16X1.5;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 12XM18X1.5;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 20X1.3/16 UNF;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 20X1/2 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 20X1/2 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 35X1.1/4 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 35X1.7/8 UNF;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 35XM42X2;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAM 15X1/4 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 15X3/4 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 15X3/4 UNF;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAF 14X1/2 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 14X1/2 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 14X1/4 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 20X1/4 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 20X3/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 20X3/4 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 38X1.1/2 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 38X1.1/2 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 38X1.1/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAM 10X1/2 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 10X1/4 BSPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAF 14X3/4 UNF;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 14X3/8 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 14X3/8 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 20X3/8 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 20XM27X2;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 22X1 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 38X1.1/4 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 38X1.7/8 UNF;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 38X3/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAM 12X1/4 BSPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 12X1/4 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 12X3/4 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAF 14X7/8 UNF;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 14XM20X1.5;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 15X1/2 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 22X1 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 22X1.1/16 UNF;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 22X1.3/16 UNF;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 38X3/8 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 38XM48X2;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 42X1.1/2 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 8X1/2 UNF;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 8X1/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 8X1/4 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 15X1/2 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 15X1/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 15X1/4 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 22X1/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 22X3/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 22X3/4 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 42X1.1/2 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 42X1.1/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 42X1.1/4 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAM 10X1/4 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 10X1/8 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 10X3/4 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAF 15X3/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 15X3/4 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 15X3/4 UNF;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 22XM26X1.5;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 25X1 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 25X1 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 42X1.7/8 UNF;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 42XM48X2;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 6X1/2 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAM 12X3/4 UNF;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 12X3/8 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAF 15X3/8 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 15X7/8 UNF;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 15XM18X1.5;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 SM10X70;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 SM10X80;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 SM12X110;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AABJO M26X1.5;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AABJO M27X2;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AABJO M33X2;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AAF3 S1/2x3;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 SM12X35;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 SM14X40;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 SM6X30;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AABJO M42X2;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AABJO M48X2;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AABJO M8X1;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AAF3 2 MEIA;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 2.1/2 MEIA;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 SM6X40;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 SM8X25;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 SM8X50;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AABJQ 1 BSPT;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AABJQ 1.1/2 BSPT;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AABJQ 1/4 BSP;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AAF3 3 MEIA;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 3/4 MEIA;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AABJQ 1/4 BSPT;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AABJQ 2 BSPT;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AABJQ 2.1/2 BSP;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AAF3 A1/2;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 A3/8;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF6 A3/4;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF6 A5/8;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AABJQ 3/4 BSPT;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AABJQ 3/8 BSPT;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AAF3 A5/16;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 A7/16;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 AM 12;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 AM10;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 AM12;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 AM20;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF6 1.1/4 MEIA;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 AM27;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 AM6;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 AM8;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF6 AM14;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF6 AM16;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF6 AM20;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 P1/2X1.1/2;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 P3/8X1.1/4;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 P5/16X1.1/4;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 P7/16X1.1/2;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 PM10X30;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 PM10X40;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF6 1/2 MEIA;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 PM10X50;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 PM12X35;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 PM12X35 INOX;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF6 M8X30 INOX;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF6 P1/2X1.3/4;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF6 P1/2X1.3/4 INOX;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 PM12X40;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 PM12X50;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 PM14X40;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF6 1 MEIA;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 1 MEIA;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 PM6X20;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 PM6X35;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 PM6X55;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF6 2 MEIA;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 1.1/2 MEIA;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 PM8X25;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 PM8X35;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 S1/2X1.1/2;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 1.1/4 MEIA;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 S3/8X1.1/4;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 S5/16X1.1/4;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF6 1.1/2 MEIA;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 1/2 MEIA;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 S7/16X1.1/2;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 S7/16X1.1/4;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF3 SM10X30;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAF6 3/4 MEIA;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAMO 18X3/4 BSP;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AABJ 1 NPT 646;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AABJ 1.1/16 UNF;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AABJ 1.1/2 NPT;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AAAM 16X1.1/16 UNF;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 16X1/2 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 16X1/4 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 42X1.1/4 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 42X1.7/8 UNF;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 42X2 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAMO 18XM22X1.5;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAMO 18XM26X1.5;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AABJ 1.1/4 NPT;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AABJ 1.3/16 UNF;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AABJ 1.5/16 UNF;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AAAM 16X3/4 BSP;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 16X3/4 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 16X3/4 UNF;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 4X1/4 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 4X1/8 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAMO 20X1/2 BSP;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AABJ 1.5/8 UNF;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AABJ 1.7/8 UNF;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AABJ 1/2 BSPT;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AAAM 16X3/8 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 16X7/8 UNF;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 18X1.1/16 UNF;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 6X1/2 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 6X1/2 UNF;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 6X1/4 BSPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAMO 20XM27X2;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAMO 22X1 BSP;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AABJ 1/2 NPT;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AABJ 1/2 UNF;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AABJ 1/4 BSPT;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AAAM 18X1/2 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 18X3/4 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 6X1/4 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 6X1/8 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 6X3/8 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAMO 22X1/2 BSP;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAMO 22X3/4 BSP;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAMO 22XM26X1.5;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AABJ 1/4 NPT;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AABJO 1.1/2 BSP;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AABJO 1.1/4 BSP;bujao-cabeca-sextavada-ABJ-ATUALIZADO.pdf
AAAM 20X1/2 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 20X1/4 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 20X3/4 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 6X7/16 UNF;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 8X1/2 UNF;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 8X1/4 BSPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
