DYNAR_COD;CATEGORIA;BITOLA;PARKER_EQUIV;GATES_EQUIV;SITUACAO
12467 06 38;CONEXAO;;;;Analise Tecnica
12468 04 28;CONEXAO;;;;Analise Tecnica
20025;ENGATE;;;;Analise Tecnica
20028;ENGATE;;;;Analise Tecnica
2069-02;MOLA;;;;Analise Tecnica
10125 12 28;CONEXAO;;;;Analise Tecnica
10147 06 28;CONEXAO;;;;Analise Tecnica
10147 10 28;CONEXAO;;;;Analise Tecnica
112A-PP;ABRACADEIRA;;;;Analise Tecnica
116B 1/4X1/4 BSP;CONEXAO;;;;Analise Tecnica
218-PP;ABRACADEIRA;;;;Analise Tecnica
10167 06 18;CONEXAO;;;;Analise Tecnica
10167 12 38;CONEXAO;;;;Analise Tecnica
101B 1/2;CONEXAO;;;;Analise Tecnica
101B 1/4;CONEXAO;;;;Analise Tecnica
101B 1/8;CONEXAO;;;;Analise Tecnica
101B 3/4;CONEXAO;;;;Analise Tecnica
12020 06 00;CONEXAO;;;;Analise Tecnica
12023 07 06;CONEXAO;;;;Analise Tecnica
12023 08 06;CONEXAO;;;;Analise Tecnica
206MB-16;MANGUEIRA;;;;Analise Tecnica
20C00 00 28;CONEXAO;;;;Analise Tecnica
101B 3/8;CONEXAO;;;;Analise Tecnica
102-012-F-60;BOBINA;;;;Analise Tecnica
102-012-F-CC;BOBINA;;;;Analise Tecnica
12040 04 00;CONEXAO;;;;Analise Tecnica
12040 07 00;CONEXAO;;;;Analise Tecnica
12060 01 00;CONEXAO;;;;Analise Tecnica
1334404;FLANGE;;;;Analise Tecnica
102-024-F-60;BOBINA;;;;Analise Tecnica
102-110-F-60;BOBINA;;;;Analise Tecnica
10215 10 28;CONEXAO;;;;Analise Tecnica
12060 04 00;CONEXAO;;;;Analise Tecnica
12060 07 00;CONEXAO;;;;Analise Tecnica
12082 04 00;CONEXAO;;;;Analise Tecnica
102-220-F-60;BOBINA;;;;Analise Tecnica
10225 04 05;CONEXAO;;;;Analise Tecnica
10225 04 18;CONEXAO;;;;Analise Tecnica
12415 04 28;CONEXAO;;;;Analise Tecnica
12425 01 10;CONEXAO;;;;Analise Tecnica
15043 00 18;CONEXAO;;;;Analise Tecnica
10225 04 28;CONEXAO;;;;Analise Tecnica
10225 06 18;CONEXAO;;;;Analise Tecnica
10225 08 18;CONEXAO;;;;Analise Tecnica
12425 01 28;CONEXAO;;;;Analise Tecnica
12425 02 18;CONEXAO;;;;Analise Tecnica
12425 02 28;CONEXAO;;;;Analise Tecnica
16020 28 28;CONEXAO;;;;Analise Tecnica
10225 08 28;CONEXAO;;;;Analise Tecnica
10225 08 38;CONEXAO;;;;Analise Tecnica
10225 10 38;CONEXAO;;;;Analise Tecnica
12425 03 18;CONEXAO;;;;Analise Tecnica
12425 04 18;CONEXAO;;;;Analise Tecnica
12425 04 38;CONEXAO;;;;Analise Tecnica
16023 38 28;CONEXAO;;;;Analise Tecnica
16023 48 28;CONEXAO;;;;Analise Tecnica
18-013-235;MANOMETRO;;;;Analise Tecnica
10245 08 38;CONEXAO;;;;Analise Tecnica
10247 04 28;CONEXAO;;;;Analise Tecnica
10247 05 28;CONEXAO;;;;Analise Tecnica
12425 05 38;CONEXAO;;;;Analise Tecnica
12425 06 38;CONEXAO;;;;Analise Tecnica
12425 06 48;CONEXAO;;;;Analise Tecnica
18-013-030;MANOMETRO;;;;Analise Tecnica
18-013-035;MANOMETRO;;;;Analise Tecnica
18-013-082;MANOMETRO;;;;Analise Tecnica
100-024-F-CC;BOBINA;;;;Analise Tecnica
10019 06 05;CONEXAO;;;;Analise Tecnica
10247 06 18;CONEXAO;;;;Analise Tecnica
10247 06 28;CONEXAO;;;;Analise Tecnica
10247 08 18;CONEXAO;;;;Analise Tecnica
12425 07 48;CONEXAO;;;;Analise Tecnica
12426 04 18;CONEXAO;;;;Analise Tecnica
12426 05 28;CONEXAO;;;;Analise Tecnica
AAAF 6X1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAF 6X1/2 UNF;CONEXAO;;;;Analise Tecnica
AAAF 6X1/4 BSP;CONEXAO;;;;Analise Tecnica
990-005;AMORTECEDOR;;;;Analise Tecnica
990-006;KIT;;;;Analise Tecnica
AAAF 1/2X1/4 BSP;CONEXAO;;;;Analise Tecnica
AAAF 16X1 BSP;CONEXAO;;;;Analise Tecnica
AAAF 16X1 NPT;CONEXAO;;;;Analise Tecnica
AAAF 16X1.1/16 UNF;CONEXAO;;;;Analise Tecnica
AAAF 25X1.1/16 UNF;CONEXAO;;;;Analise Tecnica
AAAF 25X1.5/16 UNF;CONEXAO;;;;Analise Tecnica
AAAF 25X1/2 BSP;CONEXAO;;;;Analise Tecnica
AAAF 6X1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAF 6X1/8 BSP;CONEXAO;;;;Analise Tecnica
AAAF 6X1/8 NPT;CONEXAO;;;;Analise Tecnica
AAAF 10X1/2 BSP;CONEXAO;;;;Analise Tecnica
AAAF 10X1/2 UNF;CONEXAO;;;;Analise Tecnica
AAAF 10X1/4 BSP;CONEXAO;;;;Analise Tecnica
AAAF 16X1/2 BSP;CONEXAO;;;;Analise Tecnica
AAAF 16X1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAF 16X1/4 BSP;CONEXAO;;;;Analise Tecnica
AAAF 25X1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAF 25X3/4 BSP;CONEXAO;;;;Analise Tecnica
AAAF 25X3/4 NPT;CONEXAO;;;;Analise Tecnica
AAAF 6X3/8 BSP;CONEXAO;;;;Analise Tecnica
AAAF 6X3/8 NPT;CONEXAO;;;;Analise Tecnica
AAAF 6X7/16 UNF;CONEXAO;;;;Analise Tecnica
AAAF 10X1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAF 10X1/8 NPT;CONEXAO;;;;Analise Tecnica
AAAF 10X3/4 BSP;CONEXAO;;;;Analise Tecnica
AAAF 16X1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAF 16X3/4 BSP;CONEXAO;;;;Analise Tecnica
AAAF 16X3/4 NPT;CONEXAO;;;;Analise Tecnica
