DYNAR_COD;CATEGORIA;BITOLA;PARKER_EQUIV;GATES_EQUIV;SITUACAO
AAJMF 3/8 NPT;CONEXAO;;;;Analise Tecnica
AAFF 3/4X1/2 BSP;CONEXAO;;;;Analise Tecnica
AAFF 3/4X1/2 NPT;CONEXAO;;;;Analise Tecnica
AAFF 3/4X1/4 BSP;CONEXAO;;;;Analise Tecnica
AAFF 3/8X1/4 BSP;CONEXAO;;;;Analise Tecnica
AAFF 3/8X1/4 NPT;CONEXAO;;;;Analise Tecnica
AAFF 3/8X1/8 BSP;CONEXAO;;;;Analise Tecnica
AAFF M28X1.5 X 1/4 BSP;CONEXAO;;;;Analise Tecnica
AAFF M33X2XM33X2;CONEXAO;;;;Analise Tecnica
AAFF M42X2XM42X2;CONEXAO;;;;Analise Tecnica
AAL 14X6;CONEXAO;;;;Analise Tecnica
AAL 14X8;CONEXAO;;;;Analise Tecnica
AAL 15X10;CONEXAO;;;;Analise Tecnica
AAFF 3/4X1/4 NPT;CONEXAO;;;;Analise Tecnica
AAFF 3/4X1/8 NPT;CONEXAO;;;;Analise Tecnica
AAFF 3/4X3/4 BSP;CONEXAO;;;;Analise Tecnica
AAFF 3/8X1/8 NPT;CONEXAO;;;;Analise Tecnica
AAFF 3/8X3/8 BSP;CONEXAO;;;;Analise Tecnica
AAFF 3/8X3/8 NPT;CONEXAO;;;;Analise Tecnica
AAJF 1.1/2 BSP;CONEXAO;;;;Analise Tecnica
AAJF 1.1/2 BSP TUPY;COENXAO;;;;Analise Tecnica
AAJF 1.1/4 BSP TUPY;CONEXAO;;;;Analise Tecnica
AAJMF 1/4 NPT;CONEXAO;;;;Analise Tecnica
AAJMF 1/4 NPT X 1/4 BSP;COMEXAO;;;;Analise Tecnica
AAJMF 1/4X1/4 BSP;CONEXAO;;;;Analise Tecnica
AAFF 3/4X3/4 BSP TUPY;CONEXAO;;;;Analise Tecnica
AAFF 3/4X3/4 NPT;CONEXAO;;;;Analise Tecnica
AAFF 3/4X3/4 UNF;CONEXAO;;;;Analise Tecnica
AAFF 7/16X3/8 UNF;CONEXAO;;;;Analise Tecnica
AAFF 7/16X5/16 UNF;CONEXAO;;;;Analise Tecnica
AAFF 7/16X7/16 UNF;CONEXAO;;;;Analise Tecnica
AAJF 1.1/4 NPT;CONEXAO;;;;Analise Tecnica
AAJF 1/2 NPT;CONECAO;;;;Analise Tecnica
AAJF 1/4 BSP;CONEXAO;;;;Analise Tecnica
AAJMF45 1 BSPT X 1 BSP;CONEXAO;;;;Analise Tecnica
AAL 10X6;CONEXAO;;;;Analise Tecnica
AAL 10X8;CONEXAO;;;;Analise Tecnica
AAFF 3/4X3/8 BSP;CONEXAO;;;;Analise Tecnica
AAFF 3/4X3/8 NPT;CONEXAO;;;;Analise Tecnica
AAFF 3/4X60X3/4 BSP;CONEXAO;;;;Analise Tecnica
AAFF 7/8X7/8 UNF;CONEXAO;;;;Analise Tecnica
AAFF 7/8X9/16 UNF;CONEXAO;;;;Analise Tecnica
AAFF 9/16 UNF X 1/4 NPT;CONEXAO;;;;Analise Tecnica
AAJF 1/4 NPT;CONEXAO;;;;Analise Tecnica
AAJF 10X1/4 BSP;CONEXAO;;;;Analise Tecnica
AAJF 2;CONEXAO;;;;Analise Tecnica
AAL 15X12;CONEXAO;;;;Analise Tecnica
AAL 15X14;CONEXAO;;;;Analise Tecnica
AAL 15X6;CONEXAO;;;;Analise Tecnica
AAFF 3/4X7/16 UNF;CONEXAO;;;;Analise Tecnica
AAFF 3/4X9/16 UNF;CONEXAO;;;;Analise Tecnica
AAFF 3/8 BSP X 1/4 NPT;CONEXAO;;;;Analise Tecnica
AAFF 1/2 NPT X 1/8 BSP;CONEXAO;;;;Analise Tecnica
AAFF 1/2 NPT X 3/4 BSP;CONEXAO;;;;Analise Tecnica
AAFF 1/2 NPT X 3/4 UNF;CONEXAO;;;;Analise Tecnica
AAFF 1/4 NPT X 3/4 UNF;CONEXAO;;;;Analise Tecnica
AAFF 1/4 NPT X 3/8 BSP;CONEXAO;;;;Analise Tecnica
AAFF 1/4 NPT X 3/8 UNF;CONEXAO;;;;Analise Tecnica
AAF6 P5/16X1.1/2;PARAFUSO;;;;Analise Tecnica
AAF6 P5/8X2.1/4;PARAFUSO;;;;Analise Tecnica
AAF6 P7/16X1.3/4;PARAFUSO;;;;Analise Tecnica
AAFF 1.1/2X1 BSP;CONEXAO;;;;Analise Tecnica
AAFF 1.1/2X1 NPT;CONEXAO;;;;Analise Tecnica
AAFF 1.1/2X1.1/2 BSP;CONEXAO;;;;Analise Tecnica
AAFF 1/2 NPT X 3/8 BSP;CONEXAO;;;;Analise Tecnica
AAFF 1/2 NPT X 3/8 UNF;CONEXAO;;;;Analise Tecnica
AAFF 1/2 NPT X 7/16 UNF;CONEXAO;;;;Analise Tecnica
AAFF 1/4 NPT X 7/16 UNF;CONEXAO;;;;Analise Tecnica
AAFF 1/4 NPT X 7/8 UNF;CONEXAO;;;;Analise Tecnica
AAFF 1/4 NPT X 9/16 UNF;CONEXAO;;;;Analise Tecnica
AAF6 PM10X35;PARAFUSO;;;;Analise Tecnica
AAF6 PM12X45;PARAFUSO;;;;Analise Tecnica
AAF6 PM14X50;PARAFUSO;;;;Analise Tecnica
AAFF 1.1/2X1.1/2 NPT;CONEXAO;;;;Analise Tecnica
AAFF 1.1/2X1.1/4 BSP;CONEXAO;;;;Analise Tecnica
AAFF 1.1/2X1.1/4 NPT;CONEXAO;;;;Analise Tecnica
AAFF 1/2 NPT X 7/8 UNF;CONEXAO;;;;Analise Tecnica
AAFF 1/2 NPT X M10X1;CONEXAO;;;;Analise Tecnica
AAFF 1/2 NPT X M12X1.5;CONEXAO;;;;Analise Tecnica
AAFF 1/4 NPT X M10X1;CONEXAO;;;;Analise Tecnica
AAFF 1/4 NPT X M12X1.5;CONEXAO;;;;Analise Tecnica
AAFF 1/4 NPT X M14X1.5;CONEXAO;;;;Analise Tecnica
AAF6 PM16X55;PARAFUSO;;;;Analise Tecnica
AAF6 PM16X80;PARAFUSO;;;;Analise Tecnica
AAF6 PM20X70;PARAFUSO;;;;Analise Tecnica
AAFF 1.1/2X1/2 BSP;CONEXAO;;;;Analise Tecnica
AAFF 1.1/2X1/2 NPT;CONEXAO;;;;Analise Tecnica
AAFF 1.1/2X1/4 BSP;CONEXAO;;;;Analise Tecnica
AAFF 1/2 NPT X M14X1.5;CONEXAO;;;;Analise Tecnica
AAFF 1/2 NPT X M16X1.5;CONEXAO;;;;Analise Tecnica
AAFF 1/2 NPT X M18X1.5;CONEXAO;;;;Analise Tecnica
AAFF 1/4 NPT X M16X1.5;CONEXAO;;;;Analise Tecnica
AAFF 1/4 NPT X M20X1.5;CONEXAO;;;;Analise Tecnica
AAFF 1/4 NPT X M22X1.5;CONEXAO;;;;Analise Tecnica
AAF6 PM24X100;PARAFUSO;;;;Analise Tecnica
AAF6 PM27X100;PARAFUSO;;;;Analise Tecnica
AAF6 PM8X30;PARAFUSO;;;;Analise Tecnica
AAFF 1.1/2X3/4 NPT;CONEXAO;;;;Analise Tecnica
AAFF 1.1/2X3/8 BSP;CONEXAO;;;;Analise Tecnica
AAFF 1.1/4 BSP X 1/4 BSP;CONEXAO;;;;Analise Tecnica
AAFF 1/2 NPT X M20X1.5;CONEXAO;;;;Analise Tecnica
AAFF 1/2 NPT X M22X1.5;CONEXAO;;;;Analise Tecnica
AAFF 1/2 NPT X M24X1.5;CONEXAO;;;;Analise Tecnica
AAFF 1/4 NPT X M24X1.5;CONEXAO;;;;Analise Tecnica
AAFF 1/8 NPT X M12X1.5;CONEXAO;;;;Analise Tecnica
AAFF 1/8 NPT X M8X1;CONEXAO;;;;Analise Tecnica
AAF6 S1/2X1.3/4;PARAFUSO;;;;Analise Tecnica
AAF6 S3/4X2.3/4;PARAFUSO;;;;Analise Tecnica
AAF6 S3/8X1.1/2;PARAFUSO;;;;Analise Tecnica
AAFF 1.1/4 BSP X 2 NPT;CONEXAO;;;;Analise Tecnica
AAFF 1.1/4 NPT X 1 BSP;CONEXAO;;;;Analise Tecnica
AAFF 1.1/4 NPT X 1.1/4 BSP;CONEXAO;;;;Analise Tecnica
AAFF 1/2 NPT X M8X1;CONEXAO;;;;Analise Tecnica
AAFF 1/2 NPT X SW;CONEXAO;;;;Analise Tecnica
AAFF 1/2X1/2 BSP;CONEXAO;;;;Analise Tecnica
AAFF 1X1/4 BSP;CONEXAO;;;;Analise Tecnica
AAFF 1X1/4 NPT;CONEXAO;;;;Analise Tecnica
AAFF 1X1/8 NPT;CONEXAO;;;;Analise Tecnica
